timestamp, lat, long
2021-08-08 17:24:31.875640, 47.64805966666667, -122.3353105
2021-08-08 17:24:45.874295, 47.64805066666667, -122.33533966666667
2021-08-08 17:24:46.873435, 47.648051333333335, -122.3353395
2021-08-08 17:24:47.875586, 47.64804783333334, -122.33533583333333
2021-08-08 17:24:48.875231, 47.648049, -122.335337
2021-08-08 17:24:49.877403, 47.64804766666666, -122.335338
2021-08-08 17:24:50.870853, 47.64804683333333, -122.3353385
2021-08-08 17:24:51.873580, 47.64804733333333, -122.33533966666667
2021-08-08 17:24:52.875255, 47.64804766666666, -122.335341
2021-08-08 17:24:53.874941, 47.648048333333335, -122.3353435
2021-08-08 17:24:54.875314, 47.648048833333334, -122.33534566666667
2021-08-08 17:24:55.872962, 47.6480485, -122.335346
2021-08-08 17:24:56.872466, 47.64804933333333, -122.335346
2021-08-08 17:24:57.871946, 47.64804566666667, -122.33534383333334
2021-08-08 17:24:58.873016, 47.648045, -122.33534233333333
2021-08-08 17:24:59.873565, 47.64804633333333, -122.33534183333333
2021-08-08 17:25:00.881261, 47.6480465, -122.33534033333333
2021-08-08 17:25:01.873126, 47.64804816666667, -122.3353405
2021-08-08 17:25:02.873028, 47.648050166666664, -122.3353405
2021-08-08 17:25:03.873383, 47.64804916666667, -122.33533766666666
2021-08-08 17:25:06.873721, 47.64804866666667, -122.335334
